"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"114","2006","7","Maharashtra","Akola","0.0","0.0","144.2","0.0","56.0","103.1","261.1","368.7","205.8","47.7","8.7","0.0","1195.3"
"114","2007","7","Maharashtra","Akola","0.0","0.0","0.0","12.0","0.0","130.9","321.5","228.0","218.2","0.0","4.6","0.0","915.2"
"114","2008","7","Maharashtra","Akola","14.3","0.0","29.0","0.0","0.0","79.5","124.8","115.9","217.0","9.9","3.0","0.0","593.4"
"114","2009","7","Maharashtra","Akola","0.0","0.0","6.5","0.2","44.8","81.0","249.2","171.6","86.2","43.9","0.0","0.0","683.4"
"114","2012","7","Maharashtra","Akola","7.9","0.0","0.0","0.7","3.7","130.8","293.5","154.0","199.5","34.4","0.0","0.0","824.5"
"114","2013","7","Maharashtra","Akola","13.2","18.1","1.9","0.7","0.0","315.7","317.3","280.5","233.2","154.2","0.1","0.0","1334.9"
"114","2014","7","Maharashtra","Akola","1.1","47.5","34.4","6.7","3.6","24.7","299.1","159.4","199.9","1.4","15.3","5.1","798.2"
"114","2015","7","Maharashtra","Akola","43.4","1.0","122.3","44.4","1.9","157.3","67.3","258.2","131.9","6.6","0.0","0.0","834.3"
"114","2016","7","Maharashtra","Akola","0.0","0.1","1.0","0.0","6.2","151.0","393.5","112.8","120.0","68.2","0.0","0.0","852.8"
"114","2017","7","Maharashtra","Akola","0.0","0.0","0.1","0.0","0.0","125.2","168.0","156.2","98.7","86.5","0.0","0.0","634.7"
"115","1990","7","Maharashtra","Amarawati","0.0","0.0","0.0","0.0","0.0","254.3","274.8","446.5","87.1","137.2","0.0","0.0","1199.9"
"115","1991","7","Maharashtra","Amarawati","1.1","0.0","0.7","1.2","0.1","136.1","292.2","135.0","7.4","1.1","90.0","2.1","667.0"
"115","1992","7","Maharashtra","Amarawati","0.0","0.0","0.0","0.7","0.5","99.1","192.3","428.0","63.4","43.6","0.3","0.0","827.9"
"115","1993","7","Maharashtra","Amarawati","0.0","0.0","0.0","0.0","10.4","146.4","250.9","161.2","200.2","71.8","0.0","0.0","840.9"
"115","1994","7","Maharashtra","Amarawati","0.0","0.0","0.0","0.0","0.0","193.6","334.5","229.7","248.1","22.2","0.0","0.0","1028.1"
"115","1995","7","Maharashtra","Amarawati","40.3","3.8","64.7","8.8","4.6","138.2","284.9","73.1","181.9","39.9","0.1","1.5","841.8"
"115","1996","7","Maharashtra","Amarawati","6.0","0.5","0.3","5.0","0.0","41.7","259.4","220.9","157.9","133.0","0.0","0.0","824.7"
"115","1997","7","Maharashtra","Amarawati","84.2","0.0","2.4","3.7","8.0","22.8","269.6","163.0","108.2","110.2","141.2","208.3","1121.6"
"115","1998","7","Maharashtra","Amarawati","8.8","0.0","39.2","0.3","3.8","96.7","194.4","194.7","336.4","45.6","36.5","0.0","956.4"
"115","1999","7","Maharashtra","Amarawati","0.2","29.5","1.6","0.0","9.4","131.9","209.9","209.1","222.3","97.1","0.0","0.0","911.0"
"115","2000","7","Maharashtra","Amarawati","4.2","0.0","44.5","0.0","19.3","189.0","393.7","213.1","33.5","34.0","0.0","0.0","931.3"
"115","2001","7","Maharashtra","Amarawati","21.0","0.0","13.8","13.3","8.7","189.9","105.5","218.9","62.7","73.8","5.3","0.0","712.9"
